filename,label,group
BloodImage_00395__BloodImage_00395_04682_Platelets.png,Platelets,BloodImage_00395
BloodImage_00246__BloodImage_00246_02974_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02975_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02976_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02977_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02978_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02979_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02980_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02981_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02982_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02983_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02984_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02985_RBC.png,RBC,BloodImage_00246
BloodImage_00246__BloodImage_00246_02986_Platelets.png,Platelets,BloodImage_00246
BloodImage_00246__BloodImage_00246_02987_WBC.png,WBC,BloodImage_00246
BloodImage_00402__BloodImage_00402_04749_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04750_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04751_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04752_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04753_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04754_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04755_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04756_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04757_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04758_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04759_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04760_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04761_RBC.png,RBC,BloodImage_00402
BloodImage_00402__BloodImage_00402_04762_Platelets.png,Platelets,BloodImage_00402
BloodImage_00402__BloodImage_00402_04763_WBC.png,WBC,BloodImage_00402
BloodImage_00261__BloodImage_00261_03106_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03107_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03108_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03109_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03110_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03111_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03112_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03113_RBC.png,RBC,BloodImage_00261
BloodImage_00261__BloodImage_00261_03114_Platelets.png,Platelets,BloodImage_00261
BloodImage_00261__BloodImage_00261_03115_WBC.png,WBC,BloodImage_00261
BloodImage_00145__BloodImage_00145_01915_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01916_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01917_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01918_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01919_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01920_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01921_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01922_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01923_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01924_RBC.png,RBC,BloodImage_00145
BloodImage_00145__BloodImage_00145_01925_Platelets.png,Platelets,BloodImage_00145
BloodImage_00145__BloodImage_00145_01926_Platelets.png,Platelets,BloodImage_00145
BloodImage_00145__BloodImage_00145_01927_Platelets.png,Platelets,BloodImage_00145
BloodImage_00145__BloodImage_00145_01928_WBC.png,WBC,BloodImage_00145
